scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_8,Hatillo,North,35321.750569908516,35686.37064566523,-364.62007575671305,-1.0217348224538572
earthquake_m6_8,Santa Isabel,South,17817.12966573811,18170.72632329518,-353.596657557071,-1.945968759123041
earthquake_m6_8,Barranquitas,Central Mountains,26777.027788141822,27126.519272996455,-349.4914848546323,-1.2883757084254426
earthquake_m6_8,Lares,Central Mountains,25693.52915652917,26041.98297452795,-348.4538179987794,-1.3380464089067536
earthquake_m6_8,Aibonito,Central Mountains,22551.753553220715,22884.973699729395,-333.22014650868005,-1.456065236870341
earthquake_m6_8,Utuado,Central Mountains,25634.29314914853,25967.390024042787,-333.0968748942578,-1.2827506907157353
earthquake_m6_8,Camuy,North,30192.48664489536,30523.360541797476,-330.8738969021142,-1.0840021905485429
earthquake_m6_8,Añasco,West,23132.194778286736,23456.200146733834,-324.0053684470986,-1.3813207869144775
earthquake_m6_8,Vega Alta,North,32308.04917130601,32631.33862559157,-323.28945428555744,-0.9907330434553896
earthquake_m6_8,Morovis,Central Mountains,26302.535677876964,26623.3992954406,-320.86361756363476,-1.205194025011616
earthquake_m6_8,Naguabo,East,20449.0563232436,20751.620716627942,-302.5643933843421,-1.458027772943547
earthquake_m6_8,Lajas,West,21376.794871754795,21669.421713009204,-292.62684125440865,-1.3504137079889427
earthquake_m6_8,Loíza,East,20113.084443570588,20405.31737624062,-292.232932670031,-1.4321410801005177
earthquake_m6_8,Aguas Buenas,Central Mountains,21831.000506833254,22105.39176892521,-274.39126209195456,-1.241286582749833
earthquake_m6_8,Guayanilla,South,15550.741695597562,15821.717686873475,-270.97599127591275,-1.7126837720074388
earthquake_m6_8,Orocovis,Central Mountains,19486.032503495844,19747.98691527864,-261.95441178279725,-1.3264866586483715
earthquake_m6_8,Arroyo,South,13534.44633319297,13792.16731790864,-257.72098471567006,-1.8686039603146962
earthquake_m6_8,Sabana Grande,West,20900.542335789272,21156.30053904927,-255.75820325999666,-1.2088985160138495
earthquake_m6_8,Patillas,South,13745.944416222217,14000.950310696835,-255.0058944746179,-1.8213470429917276
earthquake_m6_8,Cataño,Metro,20626.54296171287,20869.600394337598,-243.0574326247297,-1.164648234906677
earthquake_m6_8,Barceloneta,North,20718.068230231303,20944.37620592169,-226.30797569038623,-1.0805190542098897
earthquake_m6_8,Luquillo,East,15519.092003222571,15744.255607572946,-225.16360435037495,-1.4301317887780725
earthquake_m6_8,Quebradillas,North,21584.202902393103,21809.083504277995,-224.8806018848918,-1.031132747237086
earthquake_m6_8,Guánica,West,11072.371584415498,11292.231028463433,-219.85944404793554,-1.9469973957648692
earthquake_m6_8,Comerío,Central Mountains,17243.559546558616,17456.067134665805,-212.5075881071898,-1.2173852590494074
earthquake_m6_8,Ciales,Central Mountains,15473.66849080935,15684.813351991106,-211.1448611817559,-1.3461738845298543
earthquake_m6_8,Rincón,West,14072.748794074301,14267.018642937644,-194.2698488633432,-1.3616709540048808
earthquake_m6_8,Hormigueros,West,14237.870331629292,14421.574562170397,-183.70423054110506,-1.273815350391658
earthquake_m6_8,Jayuya,Central Mountains,13473.589200224276,13653.611631697586,-180.02243147330955,-1.3184967928586595
earthquake_m6_8,Adjuntas,Central Mountains,16602.095573731116,16775.140544575253,-173.04497084413742,-1.0315560122093685
earthquake_m6_8,Ceiba,East,9795.641754504215,9931.245295576173,-135.6035410719578,-1.365423338524946
earthquake_m6_8,Maunabo,East,9151.188579145353,9282.623854665311,-131.43527551995794,-1.415928056310291
earthquake_m6_8,Florida,North,10624.981289619163,10739.186843439846,-114.20555382068233,-1.0634469395645731
earthquake_m6_8,Vieques,East,7142.354344896083,7244.826433188862,-102.47208829277952,-1.414417436190748
earthquake_m6_8,Las Marías,West,8025.375301440401,8123.678878716515,-98.30357727611408,-1.2100869414430298
earthquake_m6_8,Maricao,West,4667.282018736629,4744.606130569123,-77.32411183249405,-1.6297266770849725
earthquake_m6_8,Culebra,East,1156.801075152137,1174.336303768819,-17.53522861668216,-1.493203314962335
earthquake_m7_2,San Juan,Metro,305415.99826223403,310672.4505599049,-5256.452297670883,-1.6919595825756415
earthquake_m7_2,Ponce,South,118517.4180699073,121528.73921075082,-3011.3211408435163,-2.4778675072250937
earthquake_m7_2,Bayamón,Metro,165845.9179666523,168650.71142058505,-2804.79345393274,-1.663078341210243
earthquake_m7_2,Carolina,Metro,137630.4847498429,139877.07162691333,-2246.5868770704255,-1.6061151773770523
earthquake_m7_2,Caguas,East,111112.63445543652,113126.81334654687,-2014.1788911103504,-1.7804610874525548
earthquake_m7_2,Guaynabo,Metro,80907.09678902983,82310.13768677108,-1403.0408977412444,-1.7045784847068015
earthquake_m7_2,Arecibo,North,79642.55407263008,80780.55067571937,-1137.9966030892829,-1.4087507371144183
earthquake_m7_2,Mayagüez,West,65708.20493003447,66843.64402029655,-1135.4390902620798,-1.6986492985291357
earthquake_m7_2,Juana Díaz,South,41330.450745720475,42411.152503143814,-1080.7017574233396,-2.548154656592344
earthquake_m7_2,Toa Alta,Metro,60262.88120755753,61285.884998354086,-1023.0037907965525,-1.6692323049981683
earthquake_m7_2,Toa Baja,Metro,67127.22166600588,68133.91665316725,-1006.694987161376,-1.4775240241742056
earthquake_m7_2,Trujillo Alto,Metro,60809.43885427632,61768.33622351152,-958.897369235201,-1.5524092566867715
